scenario,variant,run,tx_packets,rx_packets,lost_packets,pdr_percent,min_flow_pdr_percent,mean_delay_ms,delay_p50_ms,delay_p95_ms,goodput_kbps,olsr_control_packets,olsr_control_bytes,normalized_overhead,recovery_seconds,next_hop_changes,route_unavailable_samples,signal_transitions,failure_transitions,recoveries,disrupted_node
C,tc_only,116,8970,8755,215,97.603122,95.246597,2.659314,2.000000,2.000000,398.449778,827,76368,0.017037,5.000000,3,0,0,1,0,9
C,failure20,116,8970,8711,259,97.112598,94.242357,2.551947,2.000000,2.000000,396.447289,898,81332,0.018236,6.000000,5,0,0,1,0,9
C,failure80,116,8970,8755,215,97.603122,95.246597,2.659314,2.000000,2.000000,398.449778,827,76368,0.017037,5.000000,3,0,0,0,0,9
B,signal78,116,8967,8766,201,97.758448,95.578383,5.429236,2.000000,4.000000,398.950400,2997,301936,0.067273,0.000000,20,0,16,0,0,9
B,signal84,116,8970,8731,239,97.335563,94.688686,2.721369,2.000000,2.000000,397.357511,917,84072,0.018807,0.000000,4,0,0,1,0,9
C,detection_only,117,8968,8706,262,97.078501,94.147867,3.105731,2.000000,2.000000,396.219733,831,76224,0.017100,5.000000,2,0,0,1,0,6
C,hello_only,117,8958,8696,262,97.075240,94.134766,3.126351,2.000000,3.000000,395.764622,913,81688,0.018347,5.000000,4,0,0,1,0,6
C,tc_only,117,8968,8706,262,97.078501,94.147867,3.105731,2.000000,2.000000,396.219733,831,76224,0.017100,5.000000,2,0,0,1,0,6
C,failure20,117,8958,8696,262,97.075240,94.134766,3.126351,2.000000,3.000000,395.764622,913,81688,0.018347,5.000000,4,0,0,1,0,6
C,failure80,117,8968,8706,262,97.078501,94.147867,3.105731,2.000000,2.000000,396.219733,831,76224,0.017100,5.000000,2,0,0,0,0,6
B,signal78,117,8968,8893,75,99.163693,98.324771,2.615137,2.000000,4.000000,404.730311,2939,297712,0.065385,0.000000,12,0,16,0,0,9
B,signal84,117,8968,8701,267,97.022748,94.036185,2.017452,2.000000,2.000000,395.992178,909,83708,0.018790,0.000000,1,0,0,1,0,9
C,detection_only,118,8969,8691,278,96.900435,93.790485,2.343297,2.000000,2.000000,395.537067,782,74436,0.016728,6.000000,3,0,0,1,0,6
C,hello_only,118,8969,8715,254,97.168023,94.326558,2.213410,2.000000,3.000000,396.629333,861,79840,0.017893,5.000000,5,0,0,1,0,6
C,tc_only,118,8969,8691,278,96.900435,93.790485,2.343297,2.000000,2.000000,395.537067,782,74436,0.016728,6.000000,3,0,0,1,0,6
