scenario,run,metric,adaptive_minus_baseline
B,117,failure_transitions,0.0
B,117,recoveries,0.0
B,118,pdr_percent,-0.011149000000003184
B,118,min_flow_pdr_percent,-0.022335999999995693
B,118,delay_p50_ms,0.0
B,118,delay_p95_ms,0.0
B,118,goodput_kbps,-0.045511000000033164
B,118,normalized_overhead,0.002058000000000001
B,118,recovery_seconds,0.0
B,118,next_hop_changes,0.0
B,118,route_unavailable_samples,0.0
B,118,signal_transitions,2.0
B,118,failure_transitions,0.0
B,118,recoveries,0.0
B,119,pdr_percent,-0.5462039999999888
B,119,min_flow_pdr_percent,0.02228700000000572
B,119,delay_p50_ms,0.0
B,119,delay_p95_ms,0.0
B,119,goodput_kbps,-2.230044000000021
B,119,normalized_overhead,0.0017619999999999997
B,119,recovery_seconds,0.0
B,119,next_hop_changes,1.0
B,119,route_unavailable_samples,0.0
B,119,signal_transitions,2.0
B,119,failure_transitions,0.0
B,119,recoveries,0.0
B,120,pdr_percent,0.0
B,120,min_flow_pdr_percent,0.0
B,120,delay_p50_ms,0.0
B,120,delay_p95_ms,0.0
B,120,goodput_kbps,0.0
B,120,normalized_overhead,0.0013909999999999999
B,120,recovery_seconds,0.0
B,120,next_hop_changes,0.0
B,120,route_unavailable_samples,0.0
B,120,signal_transitions,1.0
B,120,failure_transitions,0.0
B,120,recoveries,0.0
C,101,pdr_percent,-0.28969299999999976
C,101,min_flow_pdr_percent,-0.5802279999999911
C,101,delay_p50_ms,0.0
C,101,delay_p95_ms,0.0
C,101,goodput_kbps,-1.183289000000002
C,101,normalized_overhead,0.0011670000000000014
C,101,recovery_seconds,0.0
C,101,next_hop_changes,0.0
C,101,route_unavailable_samples,0.0
C,101,signal_transitions,0.0
C,101,failure_transitions,1.0
C,101,recoveries,0.0
C,102,pdr_percent,-19.173811
C,102,min_flow_pdr_percent,-36.312575
C,102,delay_p50_ms,-1.0
C,102,delay_p95_ms,-2.0
C,102,goodput_kbps,-78.37013300000001
C,102,normalized_overhead,0.005636000000000002
C,102,recovery_seconds,29.0
C,102,next_hop_changes,3.0
C,102,route_unavailable_samples,0.0
C,102,signal_transitions,0.0
C,102,failure_transitions,1.0
C,102,recoveries,0.0
C,103,pdr_percent,0.011116999999998711
C,103,min_flow_pdr_percent,0.022232000000002472
C,103,delay_p50_ms,0.0
C,103,delay_p95_ms,0.0
C,103,goodput_kbps,0.04551099999997632
C,103,normalized_overhead,0.0011009999999999978
C,103,recovery_seconds,0.0
C,103,next_hop_changes,0.0
C,103,route_unavailable_samples,0.0
C,103,signal_transitions,0.0
C,103,failure_transitions,1.0
C,103,recoveries,0.0
C,104,pdr_percent,3.4050790000000006
C,104,min_flow_pdr_percent,6.693441000000007
C,104,delay_p50_ms,0.0
C,104,delay_p95_ms,1.0
C,104,goodput_kbps,13.607821999999999
C,104,normalized_overhead,0.0005090000000000025
C,104,recovery_seconds,-4.0
C,104,next_hop_changes,-2.0
C,104,route_unavailable_samples,0.0
C,104,signal_transitions,0.0
C,104,failure_transitions,1.0
C,104,recoveries,0.0
C,105,pdr_percent,1.0350589999999897
C,105,min_flow_pdr_percent,0.4450379999999967
C,105,delay_p50_ms,0.0
C,105,delay_p95_ms,-1.0
C,105,goodput_kbps,4.232532999999989
C,105,normalized_overhead,0.0008990000000000005
C,105,recovery_seconds,1.0
C,105,next_hop_changes,-4.0
C,105,route_unavailable_samples,0.0
C,105,signal_transitions,0.0
C,105,failure_transitions,1.0
C,105,recoveries,0.0
C,106,pdr_percent,0.3793369999999925
C,106,min_flow_pdr_percent,0.7584209999999985
